ds,yhat,yhat_lower,yhat_upper
2019-01-31,42990.53220212094,33873.3561760606,52465.04247899461
2019-02-28,31248.159922003255,22072.230698990064,40359.38767864005
2019-03-31,81267.00777220097,72134.3128936659,89917.16694129937
2019-04-30,50658.420140943555,41584.59027184698,59547.82906602592
2019-05-31,52555.92238708314,43357.07656242611,62100.72215528373
2019-06-30,60032.02039860888,50521.51294127438,69707.82329275987
2019-07-31,56249.8533164356,46915.15352994203,66457.4309943089
2019-08-31,55607.4885420384,46338.216393797484,65465.88193284742
2019-09-30,101737.65323240124,92606.75890172693,111912.77820280852
2019-10-31,69352.20948910069,60036.01139081179,78443.18998568287
2019-11-30,112411.17477061696,103273.56415988225,121621.87964260053
2019-12-31,95255.12468880048,85587.32708356365,104371.69491909328
